index,lang_id
1,5
2,2
3,5
4,5
5,5
6,3
7,5
8,4
9,10
10,5
11,3
12,7
13,8
14,4
15,7
16,9
17,9
18,5
19,0
20,10
21,5
22,8
23,10
24,0
25,10
26,10
27,2
28,0
29,3
30,7
31,10
32,9
33,4
34,3
35,5
36,0
37,3
38,9
39,4
40,1
41,5
42,5
43,2
44,2
45,0
46,10
47,10
48,8
49,2
50,5
51,4
52,9
53,4
54,4
55,10
56,8
57,2
58,9
59,5
60,4
61,0
62,7
63,0
64,10
65,9
66,5
67,4
68,3
69,5
70,9
71,5
72,7
73,9
74,3
75,5
76,8
77,10
78,7
79,9
80,5
81,5
82,5
83,9
84,10
85,2
86,3
87,4
88,7
89,7
90,10
91,5
92,9
93,10
94,4
95,5
96,3
97,0
98,5
99,8
100,2
101,5
102,7
103,3
104,10
105,8
106,8
107,5
108,3
109,4
110,4
111,9
112,10
113,9
114,9
115,10
116,4
117,0
118,2
119,1
120,1
121,4
122,1
123,2
124,7
125,3
126,0
127,5
128,7
129,5
130,2
131,7
132,8
133,10
134,4
135,5
136,5
137,9
138,4
139,5
140,0
141,4
142,8
143,2
144,3
145,2
146,8
147,3
148,4
149,9
150,8
151,3
152,9
153,9
154,10
155,5
156,5
157,5
158,2
159,1
160,4
161,10
162,7
163,6
164,9
165,5
166,4
167,2
168,10
169,1
170,2
171,10
172,5
173,9
174,0
175,7
176,3
177,0
178,9
179,7
180,9
181,10
182,3
183,5
184,5
185,4
186,4
187,10
188,2
189,10
190,2
191,9
192,7
193,4
194,0
195,10
196,10
197,4
198,2
199,9
200,5
201,3
202,0
203,2
204,8
205,2
206,0
207,9
208,8
209,6
210,5
211,10
212,7
213,0
214,2
215,8
216,0
217,0
218,7
219,0
220,1
221,7
222,8
223,0
224,1
225,1
226,10
227,5
228,1
229,9
230,3
231,5
232,8
233,8
234,4
235,9
236,10
237,4
238,7
239,4
240,3
241,0
242,5
243,5
244,2
245,5
246,3
247,3
248,3
249,2
250,5
251,10
252,4
253,4
254,0
255,2
256,10
257,3
258,5
259,5
260,2
261,10
262,5
263,2
264,4
265,2
266,9
267,8
268,5
269,10
270,0
271,3
272,0
273,5
274,3
275,5
276,4
277,5
278,5
279,4
280,5
281,9
282,3
283,10
284,2
285,1
286,2
287,2
288,10
289,9
290,4
291,3
292,3
293,7
294,5
295,2
296,9
297,5
298,10
299,10
300,4
301,10
302,0
303,9
304,5
305,10
306,1
307,3
308,4
309,8
310,9
311,5
312,10
313,7
314,10
315,0
316,3
317,0
318,5
319,5
320,10
321,5
322,9
323,4
324,3
325,9
326,5
327,9
328,8
329,8
330,0
331,2
332,5
333,5
334,5
335,4
336,0
337,0
338,8
339,7
340,4
341,3
342,5
343,9
344,8
345,9
346,5
347,7
348,7
349,10
350,0
351,9
352,0
353,3
354,3
355,4
356,5
357,5
358,3
359,5
360,10
361,0
362,7
363,5
364,7
365,7
366,9
367,10
368,9
369,1
370,0
371,2
372,0
373,8
374,9
375,9
376,5
377,3
378,10
379,3
380,3
381,9
382,5
383,9
384,5
385,0
386,9
387,9
388,4
389,10
390,4
391,2
392,0
393,5
394,3
395,2
396,3
397,9
398,4
399,0
400,5
401,4
402,5
403,3
404,3
405,1
406,3
407,1
408,2
409,5
410,2
411,9
412,5
413,3
414,3
415,9
416,10
417,5
418,7
419,7
420,7
421,5
422,8
423,10
424,9
425,8
